ip_address,username,failed_attempts,successful_attempts,time_window,label
192.168.237.155,guest,1,0,5,0
192.168.164.244,guest,2,1,30,0
192.168.119.205,admin,3,0,30,0
192.168.253.12,test,44,0,1,1
192.168.61.140,guest,2,1,10,0
192.168.115.83,guest,1,1,30,0
192.168.133.226,test,2,0,30,0
192.168.68.82,test,110,0,10,1
192.168.109.83,test,1,0,30,0
192.168.42.144,guest,2,1,5,0
192.168.233.51,admin,0,0,30,0
192.168.180.198,guest,1,0,30,0
192.168.136.107,test,3,1,10,0
192.168.212.212,test,0,1,5,0
192.168.75.235,guest,0,0,5,0
192.168.27.217,test,55,0,1,1
192.168.48.242,test,61,0,30,1
192.168.110.76,test,23,0,1,1
192.168.249.102,guest,1,1,1,0
192.168.203.223,user,3,0,10,0
192.168.131.238,user,141,0,30,1
192.168.51.4,guest,3,0,30,0
192.168.237.27,admin,41,0,10,1
192.168.155.39,test,0,1,1,0
192.168.193.101,guest,3,0,10,0
192.168.3.38,guest,97,0,10,1
192.168.26.14,admin,3,0,30,0
192.168.20.144,admin,71,0,10,1
192.168.233.246,test,1,0,30,0
192.168.80.177,guest,69,0,30,1
192.168.41.98,user,1,1,30,0
192.168.19.250,test,3,1,10,0
192.168.217.211,admin,2,1,1,0
192.168.61.154,user,2,1,30,0
192.168.14.3,user,2,0,5,0
192.168.203.156,user,3,0,10,0
192.168.203.60,admin,1,1,1,0
192.168.137.126,admin,3,0,10,0
192.168.82.241,guest,200,0,30,1
192.168.255.5,guest,0,1,1,0
192.168.66.39,admin,0,1,30,0
192.168.216.173,user,194,0,5,1
192.168.151.219,user,1,1,5,0
192.168.76.97,user,124,0,30,1
192.168.61.219,admin,2,1,1,0
192.168.131.67,admin,0,0,10,0
192.168.176.28,user,0,1,10,0
192.168.224.175,admin,28,0,30,1
192.168.245.72,user,0,1,5,0
192.168.77.77,user,3,1,10,0
192.168.12.92,admin,2,0,1,0
192.168.152.88,guest,3,1,30,0
192.168.32.57,test,38,0,30,1
192.168.61.124,guest,0,1,30,0
192.168.23.52,user,3,1,1,0
192.168.146.69,test,59,0,10,1
192.168.219.224,test,80,0,5,1
192.168.39.173,admin,1,1,30,0
192.168.57.201,test,0,0,30,0
192.168.99.49,test,57,0,1,1
192.168.82.221,user,1,0,10,0
192.168.84.144,user,3,0,30,0
192.168.78.172,test,3,1,1,0
192.168.61.175,guest,1,0,10,0
192.168.76.245,admin,77,0,5,1
192.168.20.130,user,0,1,30,0
192.168.70.144,admin,121,0,30,1
192.168.205.219,guest,2,1,30,0
192.168.153.29,guest,2,0,5,0
192.168.224.232,admin,0,0,30,0
192.168.245.114,user,0,0,30,0
192.168.143.174,guest,3,1,10,0
192.168.78.219,admin,51,0,1,1
192.168.198.242,test,2,0,10,0
192.168.66.167,admin,2,0,1,0
192.168.42.172,user,2,0,5,0
192.168.173.205,admin,2,1,1,0
192.168.156.230,test,2,0,10,0
192.168.0.79,guest,3,1,1,0
192.168.247.198,user,2,1,5,0
192.168.130.38,user,2,0,30,0
192.168.120.20,guest,174,0,10,1
192.168.50.243,test,0,1,10,0
192.168.27.178,admin,173,0,1,1
192.168.84.38,user,134,0,10,1
192.168.123.86,test,0,0,30,0
192.168.117.99,admin,3,1,30,0
192.168.178.194,guest,3,0,1,0
192.168.243.148,test,3,1,10,0
192.168.68.118,admin,3,1,30,0
192.168.68.69,admin,2,1,5,0
192.168.236.59,test,2,0,1,0
192.168.41.125,admin,22,0,5,1
192.168.168.152,user,158,0,30,1
192.168.137.77,guest,1,1,1,0
192.168.236.8,guest,3,0,1,0
192.168.166.75,user,3,1,30,0
192.168.174.19,guest,2,0,30,0
192.168.50.219,user,1,0,30,0
192.168.49.133,guest,102,0,10,1
192.168.124.97,test,1,0,1,0
192.168.0.80,test,2,0,10,0
192.168.10.158,test,1,0,10,0
192.168.108.71,guest,88,0,5,1
192.168.139.80,guest,3,0,5,0
192.168.55.192,guest,0,1,30,0
192.168.73.29,admin,0,1,30,0
192.168.220.83,user,2,1,10,0
192.168.232.52,test,0,0,30,0
192.168.133.156,admin,0,0,5,0
192.168.111.37,admin,21,0,5,1
192.168.13.50,guest,109,0,5,1
192.168.63.215,guest,147,0,1,1
192.168.186.182,user,95,0,10,1
192.168.193.203,admin,2,0,30,0
192.168.253.190,test,3,0,5,0
192.168.121.108,admin,123,0,5,1
192.168.179.198,test,2,0,30,0
192.168.239.218,admin,2,0,1,0
192.168.129.68,user,86,0,30,1
192.168.221.132,user,1,0,30,0
192.168.218.136,test,0,0,5,0
192.168.177.168,admin,3,1,30,0
192.168.146.37,admin,108,0,1,1
192.168.76.243,user,96,0,30,1
192.168.127.63,guest,1,0,30,0
192.168.111.93,guest,3,0,10,0
192.168.210.85,admin,200,0,1,1
192.168.51.108,user,193,0,5,1
192.168.99.225,guest,98,0,5,1
192.168.151.132,test,2,1,5,0
192.168.1.224,admin,0,0,10,0
192.168.128.61,user,192,0,10,1
192.168.116.212,test,2,0,1,0
192.168.143.43,user,1,1,30,0
192.168.125.99,admin,3,1,5,0
192.168.86.51,test,66,0,30,1
192.168.115.141,user,1,1,1,0
192.168.146.220,test,2,1,5,0
192.168.12.17,user,77,0,10,1
192.168.213.164,admin,31,0,30,1
192.168.148.158,test,0,0,1,0
192.168.255.100,user,1,0,5,0
192.168.31.137,user,41,0,10,1
192.168.140.30,test,1,1,30,0
192.168.227.220,admin,161,0,10,1
192.168.82.64,test,1,0,5,0
192.168.124.10,test,0,0,30,0
192.168.54.215,test,1,1,5,0
192.168.172.92,guest,0,0,10,0
192.168.205.221,test,0,0,1,0
192.168.168.194,test,3,1,30,0
192.168.219.2,test,191,0,1,1
192.168.197.103,user,1,0,30,0
192.168.144.55,admin,32,0,10,1
192.168.172.140,guest,0,1,10,0
192.168.252.183,admin,136,0,1,1
192.168.195.61,test,140,0,1,1
192.168.206.5,admin,1,1,5,0
192.168.220.208,user,72,0,5,1
192.168.205.239,guest,3,0,10,0
192.168.0.203,guest,128,0,1,1
192.168.70.239,user,3,0,10,0
192.168.218.171,test,3,1,30,0
192.168.233.148,admin,0,0,1,0
192.168.199.205,user,2,1,5,0
192.168.84.117,user,2,1,10,0
192.168.171.245,guest,127,0,10,1
192.168.152.199,user,0,1,30,0
192.168.81.20,user,48,0,10,1
192.168.98.157,user,2,1,30,0
192.168.132.158,guest,2,1,5,0
192.168.82.84,guest,2,1,30,0
192.168.57.170,user,0,1,5,0
192.168.220.199,user,2,0,5,0
192.168.86.179,test,66,0,30,1
192.168.166.243,guest,3,0,5,0
192.168.158.8,guest,0,0,30,0
192.168.185.228,admin,2,1,5,0
192.168.248.100,test,0,0,30,0
192.168.39.151,guest,26,0,30,1
192.168.75.219,test,3,0,10,0
192.168.8.238,test,2,1,30,0
192.168.226.155,user,198,0,1,1
192.168.233.25,user,140,0,10,1
192.168.251.137,test,3,0,5,0
192.168.77.93,test,48,0,30,1
192.168.164.33,admin,0,0,30,0
192.168.250.69,admin,0,0,5,0
192.168.176.145,guest,3,0,5,0
192.168.41.1,guest,3,0,1,0
192.168.31.89,test,2,0,5,0
192.168.125.239,guest,2,1,5,0
192.168.191.203,guest,2,0,1,0
192.168.73.253,user,1,1,1,0
192.168.79.55,guest,3,1,30,0
192.168.87.96,guest,51,0,10,1
192.168.71.25,test,3,0,30,0
192.168.20.229,guest,2,0,30,0
192.168.225.132,admin,2,0,10,0
192.168.211.202,guest,1,1,5,0
192.168.94.192,test,2,1,1,0
192.168.117.88,test,3,0,30,0
192.168.65.77,guest,0,0,30,0
192.168.23.3,admin,0,1,5,0
192.168.211.42,user,2,1,1,0
192.168.76.15,user,0,0,30,0
192.168.68.9,test,0,0,10,0
192.168.192.80,guest,161,0,30,1
192.168.89.115,user,2,1,30,0
192.168.33.174,test,143,0,5,1
192.168.129.53,guest,0,0,5,0
192.168.115.156,test,1,0,5,0
192.168.194.248,admin,0,0,1,0
192.168.233.212,guest,78,0,1,1
192.168.1.14,test,143,0,30,1
192.168.110.175,test,198,0,10,1
192.168.239.248,test,1,0,30,0
192.168.158.219,test,1,1,1,0
192.168.235.129,guest,2,0,30,0
192.168.193.224,user,3,0,5,0
192.168.223.72,user,3,0,10,0
192.168.243.253,test,2,1,30,0
192.168.26.171,admin,3,1,10,0
192.168.16.164,test,165,0,1,1
192.168.119.145,admin,0,0,1,0
192.168.32.54,test,3,0,1,0
192.168.179.235,guest,2,1,10,0
192.168.138.166,test,1,0,5,0
192.168.8.228,guest,184,0,1,1
192.168.200.123,guest,2,0,1,0
192.168.27.7,guest,0,0,1,0
192.168.67.61,guest,2,1,10,0
192.168.111.222,guest,1,0,30,0
192.168.87.178,admin,132,0,1,1
192.168.74.170,test,0,1,5,0
192.168.24.76,test,0,0,30,0
192.168.182.35,user,2,0,10,0
192.168.136.8,admin,83,0,5,1
192.168.126.252,test,88,0,1,1
192.168.187.129,test,3,1,5,0
192.168.101.16,user,2,1,30,0
192.168.252.71,user,2,1,1,0
192.168.78.240,test,3,0,5,0
192.168.156.8,test,3,1,10,0
192.168.158.73,test,1,0,5,0
192.168.168.88,admin,3,1,5,0
192.168.61.155,guest,2,1,10,0
192.168.160.123,admin,2,1,5,0
192.168.96.249,test,87,0,30,1
192.168.141.227,admin,2,1,30,0
192.168.11.52,user,0,0,30,0
192.168.127.242,guest,3,0,30,0
192.168.119.35,guest,86,0,10,1
192.168.104.101,test,3,0,1,0
192.168.241.110,test,1,0,1,0
192.168.250.13,admin,3,0,10,0
192.168.176.229,user,1,1,10,0
192.168.202.73,test,24,0,5,1
192.168.121.5,guest,0,0,10,0
192.168.243.154,admin,0,0,1,0
192.168.199.8,test,41,0,30,1
192.168.240.125,admin,2,1,1,0
192.168.208.31,test,3,0,5,0
192.168.146.1,admin,2,0,5,0
192.168.52.51,admin,2,1,5,0
192.168.24.180,guest,2,0,1,0
192.168.5.240,admin,2,1,1,0
192.168.155.57,guest,73,0,1,1
192.168.230.250,admin,0,0,30,0
192.168.157.7,user,0,0,10,0
192.168.93.1,admin,1,0,5,0
192.168.177.242,admin,1,1,30,0
192.168.192.223,test,1,1,1,0
192.168.13.111,guest,161,0,1,1
192.168.221.196,guest,1,0,1,0
192.168.115.16,guest,103,0,5,1
192.168.28.169,test,2,1,1,0
192.168.249.103,admin,2,0,5,0
192.168.200.217,user,2,1,1,0
192.168.131.211,admin,2,1,1,0
192.168.187.61,admin,3,0,5,0
192.168.162.129,admin,2,0,10,0
192.168.167.35,admin,2,0,5,0
192.168.137.10,admin,3,1,30,0
192.168.249.113,guest,140,0,1,1
192.168.251.178,test,55,0,1,1
192.168.212.167,guest,3,0,10,0
192.168.110.109,guest,3,0,30,0
192.168.2.201,admin,2,0,1,0
192.168.199.21,admin,29,0,1,1
192.168.127.197,admin,2,0,30,0
192.168.31.2,user,0,0,5,0
192.168.144.67,user,1,1,1,0
192.168.255.101,test,175,0,10,1
192.168.52.194,guest,1,1,1,0
192.168.96.187,user,0,0,10,0
192.168.61.194,test,1,0,5,0
192.168.28.166,guest,108,0,5,1
192.168.105.222,user,3,0,30,0
192.168.208.32,admin,48,0,1,1
192.168.217.8,guest,1,1,1,0
192.168.210.187,guest,3,1,1,0
192.168.255.190,test,0,1,10,0
192.168.254.201,user,0,1,5,0
192.168.31.149,guest,2,1,5,0
192.168.72.214,user,0,1,1,0
192.168.125.123,guest,129,0,1,1
192.168.150.15,guest,38,0,30,1
192.168.230.214,user,153,0,30,1
192.168.139.155,guest,2,0,30,0
192.168.253.107,guest,1,0,10,0
192.168.235.106,admin,156,0,30,1
192.168.207.225,guest,196,0,5,1
192.168.249.58,test,103,0,5,1
192.168.123.156,guest,1,1,30,0
192.168.184.221,user,0,0,30,0
192.168.99.186,test,3,1,30,0
192.168.242.205,test,178,0,30,1
192.168.113.181,user,3,0,10,0
192.168.149.143,admin,3,0,1,0
192.168.29.106,guest,2,0,30,0
192.168.157.232,user,51,0,10,1
192.168.222.129,admin,95,0,5,1
192.168.15.52,admin,143,0,10,1
192.168.53.172,admin,104,0,10,1
192.168.7.134,guest,2,1,10,0
192.168.140.96,guest,2,0,30,0
192.168.78.1,guest,167,0,10,1
192.168.102.246,admin,93,0,30,1
192.168.164.14,admin,3,0,1,0
192.168.31.124,guest,1,0,10,0
192.168.214.43,guest,0,1,1,0
192.168.185.47,test,2,0,5,0
192.168.114.212,admin,180,0,10,1
192.168.82.116,user,1,1,30,0
192.168.138.18,admin,2,0,30,0
192.168.64.45,admin,1,0,1,0
192.168.227.23,test,3,0,30,0
192.168.251.47,guest,3,1,1,0
192.168.253.110,admin,2,0,5,0
192.168.251.68,test,145,0,5,1
192.168.216.248,guest,0,0,5,0
192.168.139.154,guest,1,0,1,0
192.168.126.34,test,1,0,1,0
192.168.106.108,admin,1,0,30,0
192.168.158.110,admin,1,0,5,0
192.168.139.244,guest,101,0,1,1
192.168.38.222,admin,56,0,1,1
192.168.188.184,test,0,0,30,0
192.168.28.202,user,3,1,10,0
192.168.230.153,user,3,0,10,0
192.168.62.206,user,173,0,10,1
192.168.176.2,admin,172,0,1,1
192.168.124.164,guest,0,0,30,0
192.168.180.3,guest,1,1,10,0
192.168.72.100,admin,0,0,10,0
192.168.20.219,guest,0,0,30,0
192.168.79.109,admin,2,0,1,0
192.168.51.106,test,1,0,30,0
192.168.115.22,guest,147,0,1,1
192.168.118.157,guest,1,0,30,0
192.168.163.111,test,79,0,10,1
192.168.157.83,guest,0,1,5,0
192.168.10.183,guest,2,0,10,0
192.168.37.84,guest,2,1,30,0
192.168.65.64,test,2,0,5,0
192.168.201.235,admin,3,1,30,0
192.168.209.40,user,1,0,30,0
192.168.230.94,test,3,1,1,0
192.168.136.69,admin,154,0,5,1
192.168.70.205,user,184,0,5,1
192.168.86.112,guest,2,0,10,0
192.168.244.125,admin,1,0,5,0
192.168.185.190,user,100,0,1,1
192.168.116.127,admin,193,0,1,1
192.168.60.93,admin,1,1,10,0
192.168.110.42,guest,2,0,10,0
192.168.162.32,guest,2,1,30,0
192.168.149.42,test,3,0,10,0
192.168.134.139,user,3,0,5,0
192.168.91.46,guest,3,1,1,0
192.168.240.25,test,1,0,1,0
192.168.9.151,test,3,0,1,0
192.168.153.215,test,3,0,10,0
192.168.124.158,test,3,0,1,0
192.168.97.238,admin,3,1,5,0
192.168.27.84,admin,0,1,5,0
192.168.137.214,admin,84,0,30,1
192.168.8.245,guest,0,0,30,0
192.168.201.79,admin,83,0,10,1
192.168.227.191,user,2,1,1,0
192.168.229.123,admin,0,0,10,0
192.168.89.48,admin,185,0,5,1
192.168.221.213,admin,1,1,1,0
192.168.184.139,guest,0,0,30,0
192.168.31.17,guest,67,0,10,1
192.168.100.77,test,3,0,5,0
192.168.207.112,user,2,1,30,0
192.168.202.245,admin,3,0,30,0
192.168.51.138,test,143,0,1,1
192.168.43.110,guest,1,0,30,0
192.168.224.24,admin,0,0,30,0
192.168.44.54,guest,3,0,30,0
192.168.108.34,test,81,0,1,1
192.168.247.232,user,32,0,10,1
192.168.183.143,user,2,0,1,0
192.168.150.185,guest,3,1,30,0
192.168.105.149,test,1,0,5,0
192.168.195.120,guest,173,0,1,1
192.168.116.9,admin,123,0,1,1
192.168.141.28,user,0,0,1,0
192.168.86.70,guest,1,0,5,0
192.168.68.80,user,1,0,5,0
192.168.72.60,guest,0,1,10,0
192.168.158.174,test,3,1,1,0
192.168.102.3,guest,81,0,10,1
192.168.110.175,user,75,0,5,1
192.168.121.96,test,24,0,5,1
192.168.109.46,admin,51,0,1,1
192.168.243.117,test,3,0,10,0
192.168.153.190,test,53,0,5,1
192.168.85.155,admin,0,1,5,0
192.168.3.229,admin,87,0,30,1
192.168.148.19,admin,1,1,5,0
192.168.229.45,user,137,0,10,1
192.168.187.178,test,1,0,10,0
192.168.15.250,admin,0,0,1,0
192.168.236.76,test,2,0,1,0
192.168.130.216,admin,1,0,1,0
192.168.209.149,test,2,0,30,0
192.168.208.220,user,2,1,30,0
192.168.27.90,test,3,0,1,0
192.168.189.225,guest,60,0,30,1
192.168.129.75,admin,1,1,10,0
192.168.248.137,user,193,0,10,1
192.168.219.40,user,190,0,30,1
192.168.153.93,guest,0,0,30,0
192.168.225.253,guest,3,1,5,0
192.168.246.124,guest,2,1,5,0
192.168.228.114,guest,0,1,5,0
192.168.229.96,guest,0,0,30,0
192.168.251.109,guest,2,0,10,0
192.168.114.194,user,1,1,5,0
192.168.159.236,guest,1,1,5,0
192.168.208.141,user,3,0,30,0
192.168.158.74,guest,2,1,1,0
192.168.77.254,guest,1,0,10,0
192.168.39.243,guest,1,0,1,0
192.168.35.138,user,1,1,5,0
192.168.28.77,user,50,0,30,1
192.168.235.248,guest,3,1,5,0
192.168.107.21,test,0,1,5,0
192.168.175.42,guest,1,1,1,0
192.168.172.146,guest,2,0,5,0
192.168.49.164,guest,1,1,1,0
192.168.105.158,admin,2,1,1,0
192.168.19.13,admin,0,1,1,0
192.168.28.238,admin,2,0,10,0
192.168.240.109,guest,106,0,5,1
192.168.186.1,user,1,1,1,0
192.168.112.25,guest,3,0,30,0
192.168.1.182,test,2,0,1,0
192.168.214.90,user,0,1,1,0
192.168.87.103,guest,0,1,30,0
192.168.200.252,admin,0,0,1,0
192.168.50.169,user,193,0,5,1
192.168.91.144,guest,3,1,1,0
192.168.52.65,user,107,0,10,1
192.168.159.46,test,145,0,30,1
192.168.253.170,admin,0,0,5,0
192.168.72.175,guest,0,0,1,0
192.168.23.26,test,3,0,5,0
192.168.65.194,admin,1,1,5,0
192.168.169.155,test,0,1,1,0
192.168.144.114,test,61,0,10,1
192.168.253.233,admin,0,1,10,0
192.168.2.128,test,1,0,1,0
192.168.139.125,admin,3,0,10,0
192.168.18.239,user,167,0,10,1
192.168.228.122,user,1,0,30,0
192.168.153.63,guest,173,0,10,1
192.168.12.185,test,3,0,10,0
192.168.218.211,test,1,1,10,0
192.168.90.108,admin,23,0,1,1
192.168.164.70,test,1,1,10,0
192.168.97.240,guest,2,0,30,0
192.168.91.76,user,0,1,5,0
192.168.95.114,guest,3,1,5,0
192.168.14.233,guest,1,0,30,0
192.168.127.88,test,2,0,30,0
192.168.232.208,user,2,0,1,0
192.168.144.245,test,160,0,10,1
192.168.129.237,admin,122,0,5,1
192.168.29.139,admin,3,0,10,0
192.168.54.205,admin,0,0,30,0
192.168.13.88,test,0,1,1,0
192.168.244.178,guest,62,0,5,1
192.168.47.143,guest,158,0,5,1
192.168.156.90,test,200,0,5,1
192.168.183.75,test,68,0,1,1
192.168.42.176,test,2,0,30,0
192.168.114.80,guest,2,0,1,0
192.168.240.7,test,0,1,1,0
192.168.100.195,admin,3,0,30,0
192.168.243.77,user,136,0,30,1
192.168.252.45,guest,0,1,5,0
192.168.251.37,test,3,1,10,0
192.168.164.7,guest,1,1,30,0
192.168.180.55,admin,0,0,1,0
192.168.219.109,user,0,0,30,0
192.168.80.14,admin,3,1,1,0
192.168.128.153,guest,3,1,1,0
192.168.197.113,user,1,1,1,0
192.168.56.137,user,178,0,30,1
192.168.198.159,guest,2,0,1,0
192.168.124.193,guest,1,0,1,0
192.168.232.239,admin,62,0,1,1
192.168.71.119,test,2,1,5,0
192.168.195.212,guest,3,1,10,0
192.168.12.39,test,3,0,5,0
192.168.52.246,admin,2,0,5,0
192.168.168.139,admin,88,0,30,1
192.168.25.12,test,183,0,30,1
192.168.23.167,admin,1,0,5,0
192.168.104.68,test,0,1,10,0
192.168.159.241,user,3,1,5,0
192.168.123.160,test,44,0,30,1
192.168.121.225,admin,107,0,5,1
192.168.82.199,user,3,1,1,0
192.168.188.195,user,2,1,10,0
192.168.194.51,admin,3,0,5,0
192.168.92.194,user,98,0,5,1
192.168.167.49,admin,1,1,10,0
192.168.29.38,user,130,0,1,1
192.168.104.8,test,2,1,1,0
192.168.217.222,test,91,0,10,1
192.168.43.137,admin,2,0,30,0
192.168.29.18,test,3,1,1,0
192.168.112.79,guest,39,0,10,1
192.168.55.174,user,3,1,5,0
192.168.43.51,test,2,0,30,0
192.168.228.165,guest,3,1,10,0
192.168.5.151,user,2,0,10,0
192.168.4.11,guest,3,1,10,0
192.168.119.36,test,1,0,30,0
192.168.217.107,user,101,0,30,1
192.168.92.63,guest,1,1,10,0
192.168.231.198,admin,181,0,30,1
192.168.44.56,user,2,1,10,0
192.168.2.162,user,26,0,10,1
192.168.153.198,test,31,0,5,1
192.168.188.102,user,2,0,30,0
192.168.88.137,guest,2,0,5,0
192.168.38.12,admin,26,0,1,1
192.168.105.179,guest,0,0,10,0
192.168.237.90,user,1,0,10,0
192.168.107.53,user,3,0,1,0
192.168.53.7,admin,2,0,5,0
192.168.134.3,guest,2,0,30,0
192.168.244.53,test,69,0,5,1
192.168.109.48,test,103,0,1,1
192.168.116.215,admin,3,1,1,0
192.168.239.115,guest,3,0,5,0
192.168.42.214,test,0,1,1,0
192.168.69.242,admin,1,0,1,0
192.168.206.63,test,3,1,30,0
192.168.204.66,test,0,0,10,0
192.168.77.67,guest,2,0,5,0
192.168.201.140,user,0,0,5,0
192.168.132.254,admin,147,0,1,1
192.168.176.50,user,0,1,30,0
192.168.157.208,admin,2,1,5,0
192.168.95.215,admin,2,0,1,0
192.168.93.103,user,2,0,1,0
192.168.75.156,admin,3,0,10,0
192.168.10.94,guest,28,0,5,1
192.168.141.5,test,1,1,10,0
192.168.185.50,test,3,0,1,0
192.168.237.116,test,2,1,10,0
192.168.228.4,guest,1,0,5,0
192.168.213.74,guest,1,0,1,0
192.168.160.37,test,1,0,10,0
192.168.221.231,test,1,0,30,0
192.168.55.230,test,0,1,10,0
192.168.26.95,user,1,0,1,0
192.168.102.172,admin,1,0,30,0
192.168.57.114,test,2,0,1,0
192.168.34.112,guest,3,1,1,0
192.168.145.70,test,1,0,1,0
192.168.202.61,guest,3,1,30,0
192.168.225.86,user,95,0,5,1
192.168.1.141,user,115,0,10,1
192.168.214.99,guest,2,1,1,0
192.168.129.109,user,3,1,30,0
192.168.188.182,user,132,0,5,1
192.168.87.214,admin,2,0,10,0
192.168.170.87,guest,2,0,10,0
192.168.81.104,user,116,0,5,1
192.168.62.237,guest,2,0,10,0
192.168.124.64,user,1,1,5,0
192.168.114.42,admin,1,1,1,0
192.168.98.208,admin,0,1,10,0
192.168.163.91,admin,3,0,10,0
192.168.142.143,guest,3,0,10,0
192.168.245.37,user,0,1,1,0
192.168.69.90,test,186,0,5,1
192.168.200.223,user,116,0,5,1
192.168.72.166,user,1,0,5,0
192.168.32.2,test,111,0,5,1
192.168.208.196,guest,1,1,30,0
192.168.74.193,admin,1,0,1,0
192.168.147.165,test,100,0,30,1
192.168.173.8,guest,0,1,10,0
192.168.8.210,test,2,1,5,0
192.168.69.10,user,0,0,10,0
192.168.142.33,user,34,0,1,1
192.168.235.213,test,53,0,30,1
192.168.242.38,guest,0,1,30,0
192.168.144.247,guest,96,0,1,1
192.168.17.144,user,3,0,10,0
192.168.133.243,test,3,0,5,0
192.168.207.182,test,0,0,10,0
192.168.40.213,admin,190,0,1,1
192.168.69.30,admin,0,1,30,0
192.168.239.236,admin,3,0,30,0
192.168.196.60,user,2,0,1,0
192.168.163.197,admin,172,0,1,1
192.168.123.5,admin,2,1,5,0
192.168.217.158,test,1,0,1,0
192.168.146.96,test,1,1,30,0
192.168.248.145,guest,66,0,1,1
192.168.51.174,guest,1,0,5,0
192.168.246.254,admin,3,1,30,0
192.168.64.76,guest,0,0,5,0
192.168.251.108,user,2,1,5,0
192.168.7.66,user,3,0,10,0
192.168.124.41,guest,133,0,1,1
192.168.153.172,test,51,0,30,1
192.168.235.108,guest,2,1,5,0
192.168.31.67,test,3,0,5,0
192.168.4.22,user,114,0,5,1
192.168.65.63,guest,3,0,5,0
192.168.204.204,test,0,0,5,0
192.168.237.225,test,55,0,30,1
192.168.142.94,test,2,1,1,0
192.168.58.44,admin,0,1,1,0
192.168.85.50,guest,180,0,5,1
192.168.178.176,admin,89,0,1,1
192.168.197.90,test,0,1,30,0
192.168.61.247,admin,2,0,10,0
192.168.130.194,test,1,0,5,0
192.168.229.37,guest,1,0,1,0
192.168.106.223,user,2,0,1,0
192.168.203.89,user,163,0,10,1
192.168.218.34,user,2,1,30,0
192.168.235.116,test,3,0,1,0
192.168.160.43,user,3,0,5,0
192.168.235.240,admin,100,0,1,1
192.168.232.209,test,1,1,1,0
192.168.223.5,guest,166,0,5,1
192.168.2.157,guest,101,0,10,1
192.168.162.222,guest,2,0,1,0
192.168.66.143,admin,0,1,10,0
192.168.105.16,admin,3,0,1,0
192.168.178.6,guest,2,1,10,0
192.168.163.137,user,0,0,10,0
